,Suburb,Address,Rooms,Type,Price,Date,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Latitude,Longitude,Regionname,Propertycount,train_station_id,train_station_name,distance_to_train_station,closest_school,distance_to_closest_school,Year,Month
5356,Northcote,14 Henry St,2,h,1112000,2016/12/6,5.5,1,2,238,,,-37.7732,144.9957,Northern Metropolitan,11364,20016,Northcote Railway Station (Northcote),0.37,St Joseph's School,0.18,2016,12
5357,Thornbury,4 Kelvin Gr,2,h,944000,2016/12/6,6.5,1,1,185,78,1900,-37.763,145.0025,Northern Metropolitan,8870,20015,Croxton Railway Station (Northcote),0.49,Wales Street Primary School,0.58,2016,12
5358,Carnegie,19/225 Koornang Rd,2,u,460000,2016/12/6,11.4,1,1,0,,,-37.8936,145.056,Southern Metropolitan,7822,19920,Carnegie Railway Station (Carnegie),0.85,Carnegie Primary School,0.34,2016,12
5359,Oakleigh,5/1 Parer St,2,h,600000,2016/12/6,14,1,1,211,,1975,-37.9086,145.0977,Southern Metropolitan,3224,19916,Huntingdale Railway Station (Oakleigh),0.49,Huntingdale Primary School,0.64,2016,12
5360,Hadfield,24 South St,3,t,750000,2016/12/6,12.1,2,2,301,251,2011,-37.715,144.9475,Northern Metropolitan,2606,19962,Fawkner Railway Station (Fawkner),1.15,Pascoe Vale North Primary School,0.7,2016,12
5361,Thornbury,327 Gillies St,3,h,1210000,2016/12/6,6.5,2,2,398,,,-37.763,145.0198,Northern Metropolitan,8870,19930,Fairfield Railway Station (Fairfield),1.82,Holy Spirit School,0.4,2016,12
5362,Camberwell,4 Range St,3,h,2000000,2016/12/6,7.8,1,2,821,105,1925,-37.8459,145.0644,Southern Metropolitan,8920,19850,Hartwell Railway Station (Camberwell),1,Camberwell South Primary School,0.27,2016,12
5363,St Kilda,37/151 Fitzroy St,2,u,571000,2016/12/6,6.1,1,1,7458,,,-37.8591,144.979,Southern Metropolitan,13240,19957,Windsor Railway Station (Windsor),1.19,St Kilda Park Primary School,0.15,2016,12
5364,Camberwell,163 Through Rd,3,h,1302000,2016/12/6,7.8,1,1,427,115,1938,-37.8367,145.0934,Southern Metropolitan,8920,19894,Chatham Railway Station (Surrey Hills),1.44,Wattle Park Primary School,0.75,2016,12
5365,Essendon West,1/410 Buckley St,3,t,800000,2016/12/6,9.8,3,2,242,,2013,-37.7535,144.8868,Western Metropolitan,588,22253,Essendon Railway Station (Essendon),2.6,St Bernard's College,0.56,2016,12
5366,St Kilda,5/171 Fitzroy St,2,u,690000,2016/12/6,6.1,1,0,0,100,,-37.8579,144.981,Southern Metropolitan,13240,19957,Windsor Railway Station (Windsor),0.99,St Kilda Park Primary School,0.28,2016,12
5367,Malvern East,50 The Boulevard,3,h,1555000,2016/12/6,11.2,2,2,691,150,1950,-37.8734,145.0887,Southern Metropolitan,8801,19839,Holmesglen Railway Station (Malvern East),0.21,Malvern Valley Primary School,1.03,2016,12
5368,Heidelberg Heights,18 Shelley St,2,h,584000,2016/12/6,10.5,1,1,428,84,1950,-37.7418,145.0513,Eastern Metropolitan,2947,19936,Rosanna Railway Station (Rosanna),1.31,St Pius X School,0.72,2016,12
5369,Spotswood,24 Forrest St,3,h,927000,2016/12/6,7.7,1,0,274,131,1910,-37.8282,144.8856,Western Metropolitan,1223,19995,Spotswood Railway Station (Spotswood),0.27,Spotswood Primary School,0.42,2016,12
5370,Reservoir,146 North Rd,3,h,812000,2016/12/6,11.2,1,2,696,,1950,-37.7223,145.0126,Northern Metropolitan,21650,20010,Reservoir Railway Station (Reservoir),0.78,St Gabriel's School,0.81,2016,12
5371,Reservoir,31 Rathcown Rd,3,h,682000,2016/12/6,11.2,1,1,750,103,1970,-37.7107,145.0317,Northern Metropolitan,21650,20009,Ruthven Railway Station (Reservoir),1.98,Our Lady of the Way School,0.61,2016,12
5372,Fitzroy North,28 Percy St,2,h,990000,2016/12/6,3.5,1,0,145,,,-37.791,144.9779,Northern Metropolitan,6244,20019,Rushall Railway Station (Fitzroy North),1.54,Fitzroy Community School,0.26,2016,12
5373,Hampton,27/78 Holyrood St,2,u,685000,2016/12/6,13.7,1,2,0,,,-37.9339,145.0023,Southern Metropolitan,5454,19949,Hampton Railway Station (Hampton),0.46,Hampton Primary School,0.12,2016,12
5374,Oakleigh South,10a Farm Rd,2,h,580000,2016/12/6,14.7,1,2,428,,,-37.9249,145.0943,South-Eastern Metropolitan,3692,19916,Huntingdale Railway Station (Oakleigh),1.7,Oakleigh South Primary School,0.17,2016,12
5375,Essendon,1 McCarron Pde,4,h,1775000,2016/12/6,8,2,2,725,,,-37.7551,144.9047,Western Metropolitan,9264,22253,Essendon Railway Station (Essendon),1.02,Resurrection House,0.18,2016,12
5376,Essendon,62 Mary St,3,h,855000,2016/12/6,8,1,2,396,116,1950,-37.7484,144.8907,Western Metropolitan,9264,22253,Essendon Railway Station (Essendon),2.4,Rosehill Secondary College,0.44,2016,12
5377,Essendon,141 Cooper St,3,h,1990000,2016/12/6,8,2,2,1021,,,-37.7415,144.8987,Western Metropolitan,9264,20036,Glenbervie Railway Station (Essendon),2.06,Essendon North Primary School,0.4,2016,12
5378,Footscray,120 MacPherson St,3,h,760000,2016/12/6,6.4,1,1,265,115,1910,-37.7975,144.8894,Western Metropolitan,7570,20024,Middle Footscray Railway Station (Footscray),0.59,Footscray Primary School,0.3,2016,12
5379,Hawthorn,3 Randolph St,3,h,2065000,2016/12/6,4.6,1,1,351,150,1910,-37.8165,145.021,Southern Metropolitan,11308,19905,Hawthorn Railway Station (Hawthorn),0.62,Hawthorn West Primary School,0.46,2016,12
5380,Preston,126 Albert St,3,h,600000,2016/12/6,8.8,1,3,503,101,1950,-37.739,145.0238,Northern Metropolitan,14577,20012,Preston Railway Station (Preston),2.05,Northern College of the Arts and Technology,0.18,2016,12
5381,Ormond,7/4 Holloway St,1,u,260000,2016/12/6,11.8,1,1,0,,1975,-37.9018,145.0454,Southern Metropolitan,3578,19941,Ormond Railway Station (Ormond),0.53,Katandra School,0.41,2016,12
5382,Brunswick West,18/180 Union St,2,u,435000,2016/12/6,5.9,1,1,0,,2002,-37.7727,144.9497,Northern Metropolitan,7082,19969,Jewell Railway Station (Brunswick),0.83,Parkville College,0.5,2016,12
5383,Box Hill,1/7 Glenmore St,1,u,288000,2016/12/6,13.1,1,1,774,,1970,-37.8241,145.1262,Eastern Metropolitan,4605,20042,Box Hill Railway Station (Box Hill),0.69,Our Lady of Sion College,0.72,2016,12
5384,Elwood,4/5 Southey Ct,2,u,717000,2016/12/6,7.7,1,1,0,,1950,-37.8758,144.9874,Southern Metropolitan,8989,19955,Ripponlea Railway Station (Ripponlea),0.69,Yesodei HaTorah College,0.45,2016,12
5385,Footscray,3/53 Whitehall St,2,u,420000,2016/12/6,6.4,1,1,0,75,2010,-37.8042,144.9049,Western Metropolitan,7570,20025,Footscray Railway Station (Footscray),0.38,St Monica's School,0.38,2016,12
5386,Camberwell,3/220 Warrigal Rd,2,u,435000,2016/12/11,7.8,1,1,896,77,1960,-37.8479,145.0958,Southern Metropolitan,8920,19849,Burwood Railway Station (Glen Iris),1.4,St Benedict's School,0.23,2016,12
5387,Camberwell,13 Grace St,3,h,1622000,2016/12/11,7.8,1,1,544,160,1930,-37.8436,145.0581,Southern Metropolitan,8920,19912,Gardiner Railway Station (Glen Iris),1.22,Camberwell South Primary School,0.62,2016,12
5388,Moonee Ponds,30 Tennyson St,3,h,1505000,2016/12/11,6.9,2,2,249,168,2007,-37.7609,144.9296,Western Metropolitan,6232,20038,Moonee Ponds Railway Station (Moonee Ponds),1.06,Moonee Ponds Primary School,0.4,2016,12
5389,Camberwell,7/5 Holly St,2,u,502000,2016/12/11,7.8,1,1,0,77,1965,-37.8255,145.0592,Southern Metropolitan,8920,19853,Camberwell Railway Station (Camberwell),0.13,SEDA College (Victoria),0.74,2016,12
5390,Surrey Hills,39 Bentley St,3,h,1755000,2016/12/11,11.2,2,2,808,159,1970,-37.832,145.11,Southern Metropolitan,5457,19895,Surrey Hills Railway Station (Surrey Hills),1.32,Our Lady of Perpetual Succour School,0.25,2016,12
5391,Surrey Hills,95 Guildford Rd,4,h,1700000,2016/12/11,11.2,1,1,579,143,1900,-37.8224,145.0959,Southern Metropolitan,5457,19895,Surrey Hills Railway Station (Surrey Hills),0.32,Our Holy Redeemer School,0.43,2016,12
5392,Balwyn North,62 Clifton St,4,h,1350000,2016/12/11,9.2,2,2,815,,,-37.794,145.1019,Southern Metropolitan,7809,19896,Mont Albert Railway Station (Mont Albert),2.85,St Bridget's School,0.25,2016,12
5393,Box Hill,15 Davey St,3,h,948000,2016/12/11,13.1,1,2,384,108,1950,-37.8167,145.1373,Eastern Metropolitan,4605,19897,Laburnum Railway Station (Blackburn),0.54,Box Hill High School,0.37,2016,12
5394,Heidelberg,13 Hodgson St,3,h,1110000,2016/12/11,10.6,1,2,600,190,1950,-37.752,145.0722,Eastern Metropolitan,2890,19936,Rosanna Railway Station (Rosanna),1.15,Heidelberg Primary School,0.49,2016,12
5395,Box Hill,19 Wavell St,3,h,1412000,2016/12/11,13.1,1,1,590,,,-37.8274,145.1274,Eastern Metropolitan,4605,20042,Box Hill Railway Station (Box Hill),1.05,Roberts McCubbin Primary School,0.84,2016,12
5396,Heidelberg,3/43 Rosanna Rd,2,u,540000,2016/12/11,10.6,1,2,153,97,1972,-37.7538,145.0695,Eastern Metropolitan,2890,19935,Heidelberg Railway Station (Heidelberg),0.86,Heidelberg Primary School,0.18,2016,12
5397,Keilor Park,2/90 Victory St,3,u,501000,2016/12/11,14.5,1,1,255,132,1991,-37.7243,144.8533,Western Metropolitan,1119,20002,St Albans Railway Station (St Albans),5.22,Penleigh & Essendon Grammar School,1.74,2016,12
5398,Collingwood,382 Wellington St,2,h,855000,2016/12/11,1.6,1,0,130,80,1890,-37.7953,144.9882,Northern Metropolitan,4553,19975,Victoria Park Railway Station (Abbotsford),0.7,Clifton Hill Primary School,0.35,2016,12
5399,Brunswick,246 Victoria St,2,h,890000,2016/12/11,5.2,1,1,199,93,1900,-37.7676,144.9659,Northern Metropolitan,11918,19968,Brunswick Railway Station (Brunswick),0.56,Sydney Road Community School,0.42,2016,12
5400,Moonee Ponds,10/40 Young St,2,t,515000,2016/12/11,6.9,1,1,1981,111,2006,-37.7677,144.9221,Western Metropolitan,6232,20038,Moonee Ponds Railway Station (Moonee Ponds),0.34,Ascot Vale Primary School,0.82,2016,12
5401,Abbotsford,123/56 Nicholson St,2,u,750000,2016/12/11,2.5,2,1,0,94,2009,-37.8078,144.9965,Northern Metropolitan,4019,19976,Collingwood Railway Station (Abbotsford),0.44,Abbotsford Primary School,0.24,2016,12
5402,Fawkner,2/26 Shirley St,3,t,553500,2016/12/11,12.4,2,1,280,,,-37.7027,144.9615,Northern Metropolitan,5070,19961,Gowrie Railway Station (Glenroy),0.32,St Matthew's School,0.76,2016,12
5403,Bentleigh East,13 Norville St,3,h,1165000,2016/12/11,13.9,1,1,732,,,-37.9334,145.0667,Southern Metropolitan,10969,19937,Moorabbin Railway Station (Moorabbin),2.63,East Bentleigh Primary School,0.27,2016,12
5404,Niddrie,47 Carrington Rd,3,u,970000,2016/12/11,11.2,2,1,320,167,,-37.7377,144.888,Western Metropolitan,2291,20036,Glenbervie Railway Station (Essendon),3.09,St John Bosco's School,0.67,2016,12
5405,Port Melbourne,413/54 Nott St,2,u,516000,2016/12/11,3.8,1,1,0,70,2004,-37.8407,144.9389,Southern Metropolitan,8648,20043,Southern Cross Railway Station (Melbourne City),2.76,Port Phillip Specialist School,0.51,2016,12
5406,Bentleigh East,5b MacKie Rd,3,t,921000,2016/12/11,13.9,2,2,167,140,2009,-37.9219,145.0733,Southern Metropolitan,10969,19917,Oakleigh Railway Station (Oakleigh),2.73,Coatesville Primary School,0.2,2016,12
5407,Bentleigh East,40 Kennedy St,3,h,1208000,2016/12/11,13.9,1,1,747,,,-37.9198,145.0791,Southern Metropolitan,10969,19916,Huntingdale Railway Station (Oakleigh),2.26,Coatesville Primary School,0.48,2016,12
5408,Bentleigh East,2/41 Elizabeth St,3,t,860000,2016/12/11,13.9,2,1,254,117,1995,-37.9227,145.0558,Southern Metropolitan,10969,19939,Bentleigh Railway Station (Bentleigh),1.75,Bentleigh Secondary College,0.63,2016,12
5409,Niddrie,87 Hotham Rd,2,h,657000,2016/12/11,11.2,2,1,268,104,1950,-37.7343,144.8783,Western Metropolitan,2291,20036,Glenbervie Railway Station (Essendon),4.02,Niddrie Primary School,0.38,2016,12
5410,Bentleigh East,41 Bradford St,3,h,845000,2016/12/11,13.9,2,2,295,145,1998,-37.9239,145.0781,Southern Metropolitan,10969,19916,Huntingdale Railway Station (Oakleigh),2.57,Coatesville Primary School,0.58,2016,12
5411,Brunswick,332 Albion St,2,h,792000,2016/12/11,5.2,1,1,149,,,-37.7597,144.9528,Northern Metropolitan,11918,19967,Anstey Railway Station (Brunswick),0.71,Brunswick North Primary School,0.21,2016,12
5412,Brunswick,1/32 Donald St,2,u,587000,2016/12/11,5.2,1,1,114,65,1970,-37.758,144.9667,Northern Metropolitan,11918,19966,Moreland Railway Station (Coburg),0.58,St Margaret Mary's School,0.15,2016,12
5413,Caulfield North,9/370 Orrong Rd,2,u,570000,2016/12/11,8.1,1,1,0,67,,-37.8625,145.0103,Southern Metropolitan,6923,19945,Armadale Railway Station (Armadale),1.04,The King David School,0.48,2016,12
5414,Brunswick,98 Evans St,3,h,1060000,2016/12/11,5.2,1,0,257,121,1935,-37.7704,144.9695,Northern Metropolitan,11918,19968,Brunswick Railway Station (Brunswick),0.92,Sydney Road Community School,0.68,2016,12
5415,Richmond,25 Egan St,3,h,1074000,2016/12/11,2.6,1,0,245,140,1900,-37.8138,144.9921,Northern Metropolitan,14949,19978,West Richmond Railway Station (Richmond),0.14,Richmond West Primary School,0.32,2016,12
5416,Caulfield South,7A Alfada St,2,h,1225000,2016/12/11,9.3,1,2,284,99,1940,-37.8958,145.0215,Southern Metropolitan,5051,19953,Gardenvale Railway Station (Brighton),1.53,Japanese School of Melbourne,0.42,2016,12
5417,Brunswick,144A Glenlyon Rd,2,h,840000,2016/12/11,5.2,1,1,186,,,-37.7727,144.9707,Northern Metropolitan,11918,19969,Jewell Railway Station (Brunswick),1.08,Brunswick South Primary School,0.69,2016,12
5418,Port Melbourne,205 Heath St,2,h,1115000,2016/12/11,3.8,1,0,120,76,1900,-37.8322,144.947,Southern Metropolitan,8648,20043,Southern Cross Railway Station (Melbourne City),1.62,Montague Continuing Education Centre,0.3,2016,12
5419,Heidelberg Heights,2/71 Southern Rd,2,u,440000,2016/12/11,10.5,1,2,281,,1970,-37.7429,145.0519,Eastern Metropolitan,2947,19936,Rosanna Railway Station (Rosanna),1.25,St Pius X School,0.67,2016,12
5420,Niddrie,45 Vaynor St,3,h,710000,2016/12/11,11.2,2,1,317,140,1950,-37.7449,144.8869,Western Metropolitan,2291,22253,Essendon Railway Station (Essendon),2.86,Rosehill Secondary College,0.21,2016,12
5421,Heidelberg West,186 Oriel Rd,3,h,800000,2016/12/11,9.4,1,3,633,88,1950,-37.746,145.0422,Eastern Metropolitan,2674,19935,Heidelberg Railway Station (Heidelberg),2.04,St Pius X School,0.37,2016,12
5422,North Melbourne,23/43 Haines St,2,u,450000,2016/12/11,2.3,1,1,1588,71,1970,-37.7988,144.9478,Northern Metropolitan,6821,22239,North Melbourne Railway Station (West Melbourne),1,North Melbourne Primary School,0.25,2016,12
5423,Keilor East,61 Rachelle Rd,4,h,1420000,2016/12/11,12.8,2,2,613,250,2011,-37.7453,144.8721,Western Metropolitan,5629,22253,Essendon Railway Station (Essendon),4.06,Essendon Keilor College,0.66,2016,12
5424,Keilor East,21 Woorite Pl,3,h,900000,2016/12/11,12.8,1,1,713,127,1970,-37.7301,144.8671,Western Metropolitan,5629,20033,Oak Park Railway Station (Oak Park),4.98,Penleigh & Essendon Grammar School,0.37,2016,12
5425,Carnegie,90 Truganini Rd,4,h,1550000,2016/12/11,11.4,2,2,757,133,1930,-37.8925,145.0541,Southern Metropolitan,7822,19920,Carnegie Railway Station (Carnegie),0.8,Carnegie Primary School,0.2,2016,12
5426,Richmond,8 Hodgson Tce,3,h,1205000,2016/12/11,2.6,1,0,164,,,-37.8198,144.9979,Northern Metropolitan,14949,19907,East Richmond Railway Station (Richmond),0.74,Richmond High School,0.51,2016,12
5427,Richmond,35A Hunter St,2,t,1430000,2016/12/11,2.6,2,2,153,125,2004,-37.8209,145.0055,Northern Metropolitan,14949,19906,Burnley Railway Station (Burnley),0.76,Richmond High School,0.46,2016,12
5428,Ivanhoe,10 Abbotsford Gr,3,h,1605000,2016/12/11,7.9,2,2,608,165,1920,-37.7702,145.0398,Eastern Metropolitan,5549,19933,Ivanhoe Railway Station (Ivanhoe),0.52,Mary Immaculate School,0.21,2016,12
5429,Richmond,41 Shelley St,3,h,1465000,2016/12/11,2.6,2,2,233,170,1993,-37.8122,144.9937,Northern Metropolitan,14949,19977,North Richmond Railway Station (Richmond),0.23,Richmond West Primary School,0.24,2016,12
5430,Bentleigh East,1/112 Tambet St,2,h,742500,2016/12/11,13.9,1,1,300,135,1960,-37.9099,145.0726,Southern Metropolitan,10969,19918,Hughesdale Railway Station (Hughesdale),1.73,Hughesdale Primary School,0.63,2016,12
5431,Toorak,2/76 Mathoura Rd,1,u,611000,2016/12/11,4.6,1,1,0,,,-37.8428,145.0081,Southern Metropolitan,7217,19947,Hawksburn Railway Station (South Yarra),0.56,Toorak Primary School,0.3,2016,12
5432,Toorak,19/36 Grange Rd,1,u,515501,2016/12/11,4.6,1,1,0,,1970,-37.8373,145.0116,Southern Metropolitan,7217,19909,Heyington Railway Station (Toorak),1.01,St Catherine's School,0.86,2016,12
5433,Bentleigh East,37 Orange St,3,h,1270000,2016/12/11,13.9,1,2,694,,,-37.9174,145.0779,Southern Metropolitan,10969,19917,Oakleigh Railway Station (Oakleigh),2.1,Coatesville Primary School,0.48,2016,12
5434,Essendon West,461 Buckley St,3,h,787500,2016/12/11,9.8,1,1,556,105,1940,-37.7537,144.8856,Western Metropolitan,588,22253,Essendon Railway Station (Essendon),2.71,St Bernard's College,0.52,2016,12
5435,Ivanhoe,6/14 Athelstane Gr,2,u,587000,2016/12/11,7.9,1,1,721,78,1960,-37.7634,145.0406,Eastern Metropolitan,5549,19933,Ivanhoe Railway Station (Ivanhoe),0.74,Ivanhoe Primary School,0.41,2016,12
5436,Port Melbourne,75 Swallow St,3,h,1753000,2016/12/11,3.8,2,1,225,153,1910,-37.8381,144.9329,Southern Metropolitan,8648,22180,Southern Cross Railway Station (Melbourne City),2.77,Port Melbourne Primary School,0.32,2016,12
5437,Bentleigh East,25 Thornton St,3,h,920000,2016/12/11,13.9,2,2,578,120,1950,-37.9303,145.0805,Southern Metropolitan,10969,19916,Huntingdale Railway Station (Oakleigh),2.88,St James' College,0.91,2016,12
5438,Heidelberg Heights,33 Shakespeare Gr,2,h,680000,2016/12/11,10.5,1,1,605,78,1950,-37.7365,145.0545,Eastern Metropolitan,2947,19936,Rosanna Railway Station (Rosanna),1.25,Rosanna Primary School,0.75,2016,12
5439,Heidelberg Heights,15 Outhwaite Rd,4,h,1086000,2016/12/11,10.5,2,2,724,161,1960,-37.7404,145.0582,Eastern Metropolitan,2947,19936,Rosanna Railway Station (Rosanna),0.75,Rosanna Primary School,0.69,2016,12
5440,Heidelberg Heights,5 Burns Ct,3,h,909000,2016/12/11,10.5,2,2,585,134,1960,-37.7358,145.0546,Eastern Metropolitan,2947,19936,Rosanna Railway Station (Rosanna),1.29,Rosanna Primary School,0.73,2016,12
5441,Hawthorn East,2/282 Riversdale Rd,1,u,320000,2016/12/11,7.5,1,1,0,,1965,-37.8303,145.046,Southern Metropolitan,6482,19903,Auburn Railway Station (Hawthorn East),0.88,SEDA College (Victoria),0.71,2016,12
5442,Bentleigh,11 Somers St,4,h,1450000,2016/12/11,13,1,1,567,,,-37.9149,145.0252,Southern Metropolitan,6795,19939,Bentleigh Railway Station (Bentleigh),1.07,Bentleigh West Primary School,0.65,2016,12
5443,Bentleigh,2/7 Gordon St,2,u,855000,2016/12/11,13,2,3,226,475,2005,-37.9274,145.031,Southern Metropolitan,6795,19938,Patterson Railway Station (Bentleigh),0.47,Our Lady of the Sacred Heart College,0.81,2016,12
5444,Watsonia,56 Frensham Rd,3,h,671000,2016/12/11,14.9,2,2,280,163,2002,-37.7153,145.0854,Northern Metropolitan,2329,19984,Watsonia Railway Station (Watsonia),0.5,Greensborough Secondary College,0.92,2016,12
5445,Bentleigh,10/21 Bent St,2,u,420000,2016/12/11,13,1,0,1045,,,-37.9158,145.0379,Southern Metropolitan,6795,19939,Bentleigh Railway Station (Bentleigh),0.2,St Paul's School,0.84,2016,12
5446,Abbotsford,40 Nicholson St,3,h,1350000,2016/12/11,2.5,2,2,214,190,2005,-37.8085,144.9964,Northern Metropolitan,4019,19977,North Richmond Railway Station (Richmond),0.4,Abbotsford Primary School,0.22,2016,12
5447,Watsonia,1 Meagher St,3,h,741000,2016/12/11,14.9,1,1,671,103,1960,-37.7072,145.0855,Northern Metropolitan,2329,19984,Watsonia Railway Station (Watsonia),0.44,Watsonia Primary School,0.13,2016,12
5448,Moorabbin,2b Rice St,3,t,910000,2016/12/11,14.6,2,2,312,,,-37.9412,145.0491,Southern Metropolitan,2555,19872,Highett Railway Station (Highett),1.02,St Catherine's School,0.43,2016,12
5449,Watsonia,2 Thompson St,3,h,725000,2016/12/11,14.9,1,1,545,,,-37.7088,145.0893,Northern Metropolitan,2329,19984,Watsonia Railway Station (Watsonia),0.54,Greensborough Secondary College,0.18,2016,12
5450,Templestowe Lower,16 Clauscen St,4,h,1280000,2016/12/11,13.8,2,2,681,158,1970,-37.7646,145.1167,Eastern Metropolitan,5420,19935,Heidelberg Railway Station (Heidelberg),5,Templestowe Heights Primary School,0.37,2016,12
5451,Coburg North,17 Convent Ct,2,h,935000,2016/12/11,9.2,1,2,833,107,1960,-37.7297,144.9654,Northern Metropolitan,3445,19964,Batman Railway Station (Coburg North),0.48,Mercy College,0.11,2016,12
5452,Coburg North,9 Marama St,4,h,1009000,2016/12/11,9.2,1,2,590,,1950,-37.7197,144.9585,Northern Metropolitan,3445,19963,Merlynston Railway Station (Coburg North),0.28,St Mark's School,0.59,2016,12
5453,Coburg North,5 Rollo St,3,h,780000,2016/12/11,9.2,1,2,307,96,1950,-37.7215,144.9533,Northern Metropolitan,3445,19963,Merlynston Railway Station (Coburg North),0.71,Pascoe Vale North Primary School,0.43,2016,12
5454,Watsonia,18 Temby St,4,h,706000,2016/12/11,14.9,1,2,581,,,-37.7094,145.0877,Northern Metropolitan,2329,19984,Watsonia Railway Station (Watsonia),0.39,Watsonia Primary School,0.27,2016,12
5455,Doncaster,28 Dunoon St,4,h,1468000,2016/12/11,13.9,2,2,806,170,1975,-37.7939,145.1392,Eastern Metropolitan,9028,19897,Laburnum Railway Station (Blackburn),3,Doncaster Secondary College,1.04,2016,12
5456,Coburg,1 Sutherland St,4,h,1145000,2016/12/11,7.8,2,2,480,,,-37.7402,144.9607,Northern Metropolitan,11204,19965,Coburg Railway Station (Coburg),0.33,Australian International Academy of Education,0.64,2016,12
5457,Coburg,41 Service St,3,h,1130000,2016/12/11,7.8,1,2,735,127,1920,-37.7379,144.9623,Northern Metropolitan,11204,19964,Batman Railway Station (Coburg North),0.49,Australian International Academy of Education,0.38,2016,12
5458,Port Melbourne,8 Garton St,2,h,1080000,2016/12/11,3.8,1,0,105,70,1910,-37.8338,144.9474,Southern Metropolitan,8648,20043,Southern Cross Railway Station (Melbourne City),1.78,Montague Continuing Education Centre,0.41,2016,12
5459,Viewbank,10/86 Graham Rd,2,u,546000,2016/12/11,13.8,1,1,177,100,1975,-37.7388,145.081,Eastern Metropolitan,2698,19936,Rosanna Railway Station (Rosanna),1.38,St Martin of Tours School,0.54,2016,12
5460,Port Melbourne,205/50 Dow St,2,u,730000,2016/12/11,3.8,1,1,0,,,-37.8431,144.9403,Southern Metropolitan,8648,20043,Southern Cross Railway Station (Melbourne City),2.96,Albert Park College,0.65,2016,12
5461,Canterbury,4/34 Rochester Rd,2,u,722000,2016/12/11,9,1,1,0,92,1965,-37.8205,145.0828,Southern Metropolitan,3265,19893,Canterbury Railway Station (Canterbury),0.46,Fintona Girls' School,0.63,2016,12
5462,Clifton Hill,195 Gold St,3,h,1226000,2016/12/11,3.4,2,0,0,,,-37.7917,144.9902,Northern Metropolitan,2954,19974,Clifton Hill Railway Station (Clifton Hill),0.57,Clifton Hill Primary School,0.11,2016,12
5463,Abbotsford,411/8 Grosvenor St,2,u,700000,2016/12/11,2.5,2,1,0,,,-37.811,145.0067,Northern Metropolitan,4019,19977,North Richmond Railway Station (Richmond),1.25,Yarra Primary School,0.41,2016,12
5464,Newport,7 Rosshire Rd,3,h,776000,2016/12/11,8.4,1,3,363,,,-37.8476,144.8673,Western Metropolitan,5498,19994,Newport Railway Station (Newport),1.53,Newport Gardens Primary School,0.3,2016,12
5465,Newport,21 Croker St,3,h,810000,2016/12/11,8.4,1,1,390,84,1970,-37.847,144.8734,Western Metropolitan,5498,19994,Newport Railway Station (Newport),1.02,Newport Gardens Primary School,0.45,2016,12
5466,Thornbury,6/75 Pender St,1,u,277500,2016/12/11,6.5,1,1,0,,,-37.7542,145.0098,Northern Metropolitan,8870,20014,Thornbury Railway Station (Thornbury),0.99,Penders Grove Primary School,0.39,2016,12
5467,Thornbury,51 Alston St,3,h,887000,2016/12/11,6.5,2,2,540,129,1935,-37.7554,145.0211,Northern Metropolitan,8870,20014,Thornbury Railway Station (Thornbury),1.98,Thornbury High School,0.38,2016,12
5468,Bentleigh,11 Wheatley Rd,4,h,1860000,2016/12/11,13,2,3,855,197,1930,-37.9163,145.0324,Southern Metropolitan,6795,19939,Bentleigh Railway Station (Bentleigh),0.42,Bentleigh West Primary School,0.69,2016,12
5469,Prahran,503/120 Greville St,3,u,1350000,2016/12/11,4.5,2,2,0,,,-37.8493,144.9908,Southern Metropolitan,7717,19958,Prahran Railway Station (Prahran),0.09,Prahran High School,0.31,2016,12
5470,Bentleigh,103 Tucker Rd,3,h,1200000,2016/12/11,13,2,2,590,,,-37.9256,145.0497,Southern Metropolitan,6795,19938,Patterson Railway Station (Bentleigh),1.25,Tucker Road Bentleigh Primary School,0.78,2016,12
5471,Prahran,8/67 High St,2,u,700000,2016/12/11,4.5,1,1,0,,1888,-37.851,144.988,Southern Metropolitan,7717,19958,Prahran Railway Station (Prahran),0.23,Prahran High School,0.3,2016,12
5472,Hawthorn East,13/84 Campbell Rd,1,u,365000,2016/12/11,7.5,1,0,2274,,,-37.8339,145.055,Southern Metropolitan,6482,19853,Camberwell Railway Station (Camberwell),0.88,Camberwell Primary School,0.3,2016,12
5473,Hawthorn East,10/11 Grandview Gr,2,u,550000,2016/12/11,7.5,1,1,0,,,-37.8222,145.0566,Southern Metropolitan,6482,19853,Camberwell Railway Station (Camberwell),0.52,Camberwell Girls Grammar School,0.52,2016,12
5474,Coburg,5 Donne St,3,h,1090000,2016/12/11,7.8,1,1,464,,,-37.753,144.9485,Northern Metropolitan,11204,19966,Moreland Railway Station (Coburg),1.18,St Fidelis' School,0.44,2016,12
5475,Balwyn North,21 Maud St,3,h,1300000,2016/12/11,9.2,1,2,464,,,-37.7945,145.0667,Southern Metropolitan,7809,19932,Darebin Railway Station (Ivanhoe),3.3,Kew High School,0.32,2016,12
5476,Doncaster,9 Gilmore Rd,3,h,1275000,2016/12/11,13.9,1,1,720,,1960,-37.79,145.1309,Eastern Metropolitan,9028,20042,Box Hill Railway Station (Box Hill),3.36,Doncaster Primary School,0.37,2016,12
